Info
CSV Version,Sensor Count,Trigger Mode,Trigger Rate,Trigger Delay Domain,Trigger Delay,Operation Mode,XResolution,YResolution,ZResolution,YSpeed,Layout
2,1,0,1.00000,0,0.00000,3,0.30000,0.30000,0.00300,100.00000,0
End

DeviceInfo
ID,Model,Version,Exposure Mode,Exposure Count,Exposure 0,Exposure 1,Exposure 2,Exposure 3,Exposure 4,Exposure Min,Exposure Max,FOV X,FOV Y,FOV Z,FOV Width,FOV Height,FOV Depth,Transform X,Transform Y,Transform Z,Transform X Angle,Transform Y Angle,Transform Z Angle
40959,313109A-LED-B-01,5.1.6.79,1,2,46928.000,2138.540,-,-,-,-,-,-65.00000,-60.00000,-35.00000,130.00000,120.00000,70.00000,0.14133,0.18808,1.69396,-6.35716,-4.71110,-0.52426
End

RecordingFilter
Condition Combination Type
Any

Type,Enabled,Result
Any Measurement,No,Pass

Type,Enabled,Threshold Case,Range Count Threshold
Any Data,No,At or Above,1

Type,Enabled,Result,Selection ID
Measurement,No,Pass,0
End

Part
Frame,Source,Time,Encoder,Z Encoder,Inputs,Row Count,Column Count,X Offset,Y Offset,Z Offset
1,0,544820424776,0,0,0,428,452,-67.50000,-63.60000,1.69400
Y\X,-67.50000,-67.20000,-66.90000,-66.60000,-66.30000,-66.00000,-65.70000,-65.40000,-65.10000,-64.80000,-64.50000,-64.20000,-63.90000,-63.60000,-63.30000,-63.00000,-62.70000,-62.40000,-62.10000,-61.80000,-61.50000,-61.20000,-60.90000,-60.60000,-60.30000,-60.00000,-59.70000,-59.40000,-59.10000,-58.80000,-58.50000,-58.20000,-57.90000,-57.60000,-57.30000,-57.00000,-56.70000,-56.40000,-56.10000,-55.80000,-55.50000,-55.20000,-54.90000,-54.60000,-54.30000,-54.00000,-53.70000,-53.40000,-53.10000,-52.80000,-52.50000,-52.20000,-51.90000,-51.60000,-51.30000,-51.00000,-50.70000,-50.40000,-50.10000,-49.80000,-49.50000,-49.20000,-48.90000,-48.60000,-48.30000,-48.00000,-47.70000,-47.40000,-47.10000,-46.80000,-46.50000,-46.20000,-45.90000,-45.60000,-45.30000,-45.00000,-44.70000,-44.40000,-44.10000,-43.80000,-43.50000,-43.20000,-42.90000,-42.60000,-42.30000,-42.00000,-41.70000,-41.40000,-41.10000,-40.80000,-40.50000,-40.20000,-39.90000,-39.60000,-39.30000,-39.00000,-38.70000,-38.40000,-38.10000,-37.80000,-37.50000,-37.20000,-36.90000,-36.60000,-36.30000,-36.00000,-35.70000,-35.40000,-35.10000,-34.80000,-34.50000,-34.20000,-33.90000,-33.60000,-33.30000,-33.00000,-32.70000,-32.40000,-32.10000,-31.80000,-31.50000,-31.20000,-30.90000,-30.60000,-30.30000,-30.00000,-29.70000,-29.40000,-29.10000,-28.80000,-28.50000,-28.20000,-27.90000,-27.60000,-27.30000,-27.00000,-26.70000,-26.40000,-26.10000,-25.80000,-25.50000,-25.20000,-24.90000,-24.60000,-24.30000,-24.00000,-23.70000,-23.40000,-23.10000,-22.80000,-22.50000,-22.20000,-21.90000,-21.60000,-21.30000,-21.00000,-20.70000,-20.40000,-20.10000,-19.80000,-19.50000,-19.20000,-18.90000,-18.60000,-18.30000,-18.00000,-17.70000,-17.40000,-17.10000,-16.80000,-16.50000,-16.20000,-15.90000,-15.60000,-15.30000,-15.00000,-14.70000,-14.40000,-14.10000,-13.80000,-13.50000,-13.20000,-12.90000,-12.60000,-12.30000,-12.00000,-11.70000,-11.40000,-11.10000,-10.80000,-10.50000,-10.20000,-9.90000,-9.60000,-9.30000,-9.00000,-8.70000,-8.40000,-8.10000,-7.80000,-7.50000,-7.20000,-6.90000,-6.60000,-6.30000,-6.00000,-5.70000,-5.40000,-5.10000,-4.80000,-4.50000,-4.20000,-3.90000,-3.60000,-3.30000,-3.00000,-2.70000,-2.40000,-2.10000,-1.80000,-1.50000,-1.20000,-0.90000,-0.60000,-0.30000,0.00000,0.30000,0.60000,0.90000,1.20000,1.50000,1.80000,2.10000,2.40000,2.70000,3.00000,3.30000,3.60000,3.90000,4.20000,4.50000,4.80000,5.10000,5.40000,5.70000,6.00000,6.30000,6.60000,6.90000,7.20000,7.50000,7.80000,8.10000,8.40000,8.70000,9.00000,9.30000,9.60000,9.90000,10.20000,10.50000,10.80000,11.10000,11.40000,11.70000,12.00000,12.30000,12.60000,12.90000,13.20000,13.50000,13.80000,14.10000,14.40000,14.70000,15.00000,15.30000,15.60000,15.90000,16.20000,16.50000,16.80000,17.10000,17.40000,17.70000,18.00000,18.30000,18.60000,18.90000,19.20000,19.50000,19.80000,20.10000,20.40000,20.70000,21.00000,21.30000,21.60000,21.90000,22.20000,22.50000,22.80000,23.10000,23.40000,23.70000,24.00000,24.30000,24.60000,24.90000,25.20000,25.50000,25.80000,26.10000,26.40000,26.70000,27.00000,27.30000,27.60000,27.90000,28.20000,28.50000,28.80000,29.10000,29.40000,29.70000,30.00000,30.30000,30.60000,30.90000,31.20000,31.50000,31.80000,32.10000,32.40000,32.70000,33.00000,33.30000,33.60000,33.90000,34.20000,34.50000,34.80000,35.10000,35.40000,35.70000,36.00000,36.30000,36.60000,36.90000,37.20000,37.50000,37.80000,38.10000,38.40000,38.70000,39.00000,39.30000,39.60000,39.90000,40.20000,40.50000,40.80000,41.10000,41.40000,41.70000,42.00000,42.30000,42.60000,42.90000,43.20000,43.50000,43.80000,44.10000,44.40000,44.70000,45.00000,45.30000,45.60000,45.90000,46.20000,46.50000,46.80000,47.10000,47.40000,47.70000,48.00000,48.30000,48.60000,48.90000,49.20000,49.50000,49.80000,50.10000,50.40000,50.70000,51.00000,51.30000,51.60000,51.90000,52.20000,52.50000,52.80000,53.10000,53.40000,53.70000,54.00000,54.30000,54.60000,54.90000,55.20000,55.50000,55.80000,56.10000,56.40000,56.70000,57.00000,57.30000,57.60000,57.90000,58.20000,58.50000,58.80000,59.10000,59.40000,59.70000,60.00000,60.30000,60.60000,60.90000,61.20000,61.50000,61.80000,62.10000,62.40000,62.70000,63.00000,63.30000,63.60000,63.90000,64.20000,64.50000,64.80000,65.10000,65.40000,65.70000,66.00000,66.30000,66.60000,66.90000,67.20000,67.50000,67.80000
-63.60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-63.30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-63.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-62.70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-62.40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-62.10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-61.80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-61.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-61.20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
